Entity,Code,Year,Solar (% growth),Coal (% growth),Gas (% growth),Nuclear (% growth),Oil (% growth),Wind (% growth),Hydro (% growth),Other renewables (% growth)
Asia,,2015,54.191982,-0.8018553,3.5802603,12.735724,3.6108851,14.163399,4.1844487,16.146015
Asia,,2016,51.139675,0.008285046,2.7193666,11.859226,3.5097122,29.574085,3.8656235,1.8911719
Asia,,2017,57.483257,1.8289089,4.794228,5.581403,2.4265885,25.217676,2.6180387,17.01703
Asia,,2018,42.62204,2.5204062,5.3462744,11.80476,2.1203518,19.122494,2.3151636,19.530094
Asia,,2019,26.135445,1.2955308,2.5046468,16.527008,1.0088325,10.402048,6.8977475,11.952162
Asia,,2020,19.377089,-1.2112498,1.456964,1.5519738,-5.832094,12.590194,2.3885727,9.611058
Asia,,2021,23.945772,5.6791544,6.121385,9.71607,4.4409394,35.7216,-2.1575868,17.725718
Asia,,1966,,5.720198,15.361965,2235.9998,12.243938,,4.2963147,22.000004
Asia,,1967,,-3.1437516,16.295588,7.705486,14.872349,,-6.571722,41.803276
Asia,,1968,,1.5355945,17.777956,65.97774,12.917721,,11.152959,3.4682155
Asia,,1969,,12.874341,23.43154,73.06336,15.215647,,3.8137436,-0.5586624
Asia,,1970,,12.566174,18.998945,225.94656,14.692343,,2.3630857,129.60896
Asia,,1971,,7.463324,14.05077,53.347992,11.294281,,9.386719,-2.714181
Asia,,1972,,3.916204,11.1624,17.451954,8.089268,,3.4185648,6.534028
Asia,,1973,,2.340424,22.232544,13.514698,13.663793,,-7.0341406,6.4701557
Asia,,1974,,2.4190784,18.368494,82.95028,-0.15980601,,13.891899,14.09074
Asia,,1975,,8.062267,14.643908,26.558268,-0.77506304,,7.727051,16.31726
Asia,,1976,,2.3352742,11.340928,33.624172,7.8617334,,2.856946,-11.688084
Asia,,1977,,6.7506194,21.262085,-8.707947,6.562054,,-1.7662287,42.42166
Asia,,1978,,4.891312,18.382347,96.24085,6.298828,,5.322516,28.543758
Asia,,1979,,4.9467325,21.868885,23.278463,3.6939263,,8.119499,94.45913
Asia,,1980,,5.874729,4.2360425,17.65015,-5.4955063,,7.1457744,73.90331
Asia,,1981,,3.2869697,2.684307,7.4633,-0.9601414,,6.637621,57.64853
Asia,,1982,,3.981781,6.806743,16.951,-0.38541555,,-0.94928145,167.25461
Asia,,1983,,6.309426,7.6178193,19.611942,3.6079168,,4.5824885,15.832769
Asia,,1984,,8.9432955,22.96202,20.277786,5.0023437,,0.23311377,9.608067
Asia,,1985,,15.96154,59.480476,22.968721,9.670485,,18.474663,6.549728
Asia,,1986,,4.1194916,12.499105,6.368828,2.2608995,,0.76110363,4.606688
Asia,,1987,,7.0385575,6.5538287,18.383205,3.444624,,3.6069632,1.6878366
Asia,,1988,,6.6922426,7.369375,-5.635226,7.2703004,,14.90376,7.848513
Asia,,1989,,4.069233,8.477998,4.396248,4.761553,,2.3053765,8.025241
Asia,,1990,,1.7866969,3.9747477,7.552433,5.837357,,5.44039,-18.309175
Asia Pacific (BP),,1991,136.24997,4.100573,9.748101,6.613338,4.2040825,277.4403,2.8183103,2.134359
Asia Pacific (BP),,1992,192.06349,3.4712195,6.808555,2.6910424,6.885159,80.71507,-2.192223,0.6847143
Asia Pacific (BP),,1993,56.159424,5.2648306,4.781568,10.835707,4.2656302,41.439175,9.65377,-0.23414493
Asia Pacific (BP),,1994,23.897911,4.9859524,8.87351,6.7814946,5.710423,87.14544,0.68392754,15.078461
Asia Pacific (BP),,1995,32.32229,2.3615122,4.740703,10.251915,7.4727654,92.19059,9.054005,17.052185
Asia Pacific (BP),,1996,38.919437,4.3786883,9.188044,5.138409,5.139363,-11.625904,-2.0736992,1.7352343
Asia Pacific (BP),,1997,49.77031,0.45682192,8.072925,6.5324545,4.86027,22.472143,0.52496195,11.462045
Asia Pacific (BP),,1998,38.025536,-0.098878145,2.2784114,4.122424,-2.1891773,22.702753,6.467736,7.026899
Asia Pacific (BP),,1999,41.074417,3.0511022,7.993841,1.6030669,4.2980194,37.843575,-1.2693226,9.787655
